,trajectory,user_index,year,month,day,label
0,22042 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 16846 16856 20387 [PAD] [PAD] [PAD] 26355 20553 27142 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 22787 22546 20713 16495 16586 [PAD] 16450 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,2009,3,31,-1
1,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 14119 17882 [PAD] [PAD] [PAD] [PAD] 21229 [PAD] 23032 15239 22980 [PAD] [PAD] 25522 21595 61543 66381 61903 19692 15455 15781 15603 17808 16650 15705 15763 15684 15706 15613 15540,0,2009,4,3,0
2,15374 15429 15665 15466 15874 15502 15653 15546 15675 15520 15712 15548 15517 15576 15359 15678 15687 15752 15326 15708 15645 15573 15600 15785 [PAD] [PAD] [PAD] [PAD] [PAD] 14588 12246 4810 4707 4732 4671 3969 4769 20349 50869 50892 50835 50033 48741 17239 14640 15582 [PAD] [PAD],0,2009,4,4,0
3,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 15866 20110 27685 24066 38620 45899 46779 48401 48413 48636 46300 [PAD] 46478 47472 47809 38077 27277 18389 15355 [PAD] [PAD] [PAD],0,2009,4,5,-1
4,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 14266 27077 66444 66390 66395 62417 18355 18058 18969 19541 [PAD] 34357 [PAD] [PAD] 22444 24306 23367 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,2009,4,6,-1
5,[PAD] [PAD] 26579 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 20075 19714 19823 [PAD] 23889 23660 5571 2596 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 6380 6377 4968 15723 [PAD] [PAD] [PAD],0,2009,4,11,-1
6,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 20617 24068 2519 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 5988 6379 4358 24692 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 26561 22021 22040 18337 35133 63927 64138 66362 67661 [PAD] [PAD] [PAD] [PAD],0,2009,4,14,-1
7,[PAD] [PAD] 22100 16855 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 15593 21492 [PAD] 61394 61949 63049 66379 67625 67678 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 67800 67474 63085 35544 31305 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,2009,4,19,-1
8,[PAD] [PAD] [PAD] [PAD] 28362 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 15691 20237 [PAD] [PAD] [PAD] [PAD] 20456 20815 [PAD] 23112 [PAD] 14284 20401 16740 18850 [PAD] [PAD] 25747 22378 21866 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,2009,4,24,0
9,[PAD] [PAD] 25642 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 19972 20324 [PAD] 52924 53335 52806 51504 41808 41577 17420 [PAD] [PAD] [PAD] [PAD] 17093 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 24226 [PAD] 62775 64112 66956 [PAD] [PAD] [PAD] [PAD] [PAD],0,2009,4,25,-1
10,[PAD] 67833 67886 67601 67651 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 67824 67853 67584 67657 67691 67742 [PAD] [PAD] 67754 67776 66481 [PAD] 34747 26262 20032 17196 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,2009,4,26,-1
11,[PAD] [PAD] [PAD] 24722 20410 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 19014 [PAD] [PAD] [PAD] [PAD] 25667 [PAD] [PAD] 23293 [PAD] 15900 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 26543 18578 22086 [PAD] [PAD] [PAD] 20348 [PAD] 20229 22420 [PAD] [PAD] [PAD],0,2009,4,27,0
12,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 16135 16851 [PAD] [PAD] [PAD] 26100 20827 20958 [PAD] [PAD] 26097 [PAD] 16822 18796 [PAD] [PAD] [PAD] 26598 26994 27509 18794 18093 20139 [PAD] 24874 21500 64454 [PAD] 66344 66365 46589,0,2009,4,29,-1
13,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 15788 16698 16707 24193 29120 17302 [PAD] [PAD] 15092 15101 21608 21589 [PAD] 21253 29503 29502 29259 22287 15652 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,2009,4,30,-1
