loc_index,lat,lng,longitude,latitude,"POI大类:汽车服务,汽车销售,汽车维修,摩托车服务,餐饮服务,购物服务,生活服务,体育休闲服务,医疗保健服务,住宿服务,风景名胜,商务住宅,政府机构及社会团体,科教文化服务,交通设施服务,金融保险服务,公司企业,道路附属设施,地名地址信息,公共设施,事件活动,室内设施,通行设施",地址,addr,addr_tokens,doc2vec,addr_label,geohash
0,35.465833,112.836944,112.836944,35.465833,"195,59,57,16,870,874,878,123,326,64,23,221,451,366,245,156,548,5,896,42,0,18,424",山西省晋城市城区钟家庄街道晋城福临中医医院,城区钟家庄街道晋城福临中医医院,城区钟家庄街道 晋城 福临 中医 医院,"[-0.041625965386629105, 0.05767902731895447, 0.027437807992100716, -0.00882142223417759, -0.006860766559839249, -0.11541756987571716, 0.05873190239071846, 0.130990132689476, -0.10080251097679138, -0.14882248640060425, -0.0045564728789031506, -0.13722701370716095, 0.014341159723699093, 0.02752074971795082, -0.09124962985515594, -0.023725859820842743, 0.026959946379065514, 0.02759820781648159, -0.19098301231861115, -0.0857795849442482, -0.07923178374767303, 0.042054835706949234, 0.10257922112941742, -0.020214974880218506, 0.07357913255691528, 0.04739087074995041, 0.010438564233481884, -0.07072436809539795, -0.10403355956077576, 0.023682523518800735, -0.002237619599327445, -0.015884598717093468, -0.053195368498563766, 0.053298138082027435, -0.0972413718700409, 0.05325354263186455, 0.09610570222139359, 0.017079323530197144, 0.04732310026884079, -0.07917521148920059, 0.10479193180799484, 0.015849117189645767, -0.016471046954393387, 0.01805361546576023, 0.16064228117465973, 0.06340670585632324, 0.00822586752474308, -0.02941838838160038, -0.03582102060317993, -0.006925963331013918]",城区钟家庄街道,ww21z8m77q7w
2,35.48175,112.78031,112.78031,35.48175,"42,18,21,3,139,695,175,6,26,3,8,31,79,39,29,12,236,6,187,7,0,0,49",山西省晋城市泽州县南村镇S5503晋城绕城高速,泽州县南村镇S5503晋城绕城高速,泽州县南村镇 晋城 绕城 高速,"[-0.04720677062869072, 0.06886988133192062, 0.008939591236412525, -0.005978543311357498, -0.0059750196523964405, -0.10319618135690689, 0.053441405296325684, 0.13064943253993988, -0.09260386973619461, -0.14512887597084045, -0.005988666787743568, -0.12051636725664139, 0.02568400464951992, 0.026874272152781487, -0.08356642723083496, -0.009805167093873024, 0.019304722547531128, 0.02935372292995453, -0.16368220746517181, -0.08419768512248993, -0.08437039703130722, 0.039304010570049286, 0.08491887897253036, -0.015524341724812984, 0.0665683001279831, 0.041657622903585434, 0.027302561327815056, -0.07913899421691895, -0.09690561145544052, 0.03416306525468826, -0.013520524837076664, -0.009134912863373756, -0.05735015496611595, 0.04580065235495567, -0.09681302309036255, 0.050439249724149704, 0.0786769837141037, 0.012330548837780952, 0.047267716377973557, -0.08111681044101715, 0.12262755632400513, 0.011875677853822708, -0.01643051952123642, 0.02685515023767948, 0.15642812848091125, 0.06113308668136597, 0.007098869886249304, -0.014761770144104958, -0.042914606630802155, 0.011503074318170547]",泽州县南村镇,ww21y7k05tw7
4,35.460555,112.831666,112.831666,35.460555,"128,46,44,11,750,880,594,58,130,32,12,140,240,178,162,67,409,8,893,23,0,0,258",山西省晋城市城区钟家庄街道晋城市博宇链传动有限公司,城区钟家庄街道晋城市博宇链传动有限公司,城区钟家庄街道 晋城市 博宇链 传动 有限 公司,"[-0.007187987677752972, 0.022395407781004906, 0.015681210905313492, -0.0010141052771359682, 0.003248287597671151, -0.03268006071448326, 0.01820075884461403, 0.05113080143928528, -0.024523785337805748, -0.04175496846437454, 0.003196530044078827, -0.03976313769817352, -0.005031523294746876, -0.005124099086970091, -0.02663051150739193, -0.00033778182114474475, 0.019626198336482048, 0.0024594231508672237, -0.06366119533777237, -0.027051985263824463, -0.01858225092291832, 0.01818118244409561, 0.03996635600924492, 0.0009761916589923203, 0.016934968531131744, 0.01281309686601162, 0.007477788254618645, -0.03036525845527649, -0.038255706429481506, 6.527852383442223e-05, -0.0011306380620226264, 0.005716111045330763, -0.012926229275763035, 0.005326862912625074, -0.02449685148894787, 0.01691490039229393, 0.038758061826229095, 0.00537595571950078, 0.016564104706048965, -0.022760234773159027, 0.03259744495153427, -0.0029516073409467936, -0.00678768428042531, 0.0014788730768486857, 0.05046237260103226, 0.012221922166645527, 0.0028070600237697363, -0.011016018688678741, -0.00543912872672081, -0.010324124246835709]",城区钟家庄街道,ww21xx3s8qs4
6,35.5098,112.8224,112.8224,35.5098,"373,80,136,56,862,886,879,281,805,180,51,342,628,770,417,313,874,2,809,107,0,14,712",山西省晋城市城区西街街道书院街2453号,城区西街街道书院街2453号,城区西街街道 书院街 2453 号,"[-0.04325372353196144, 0.08558852225542068, 0.016905028373003006, -0.009806321933865547, -0.019073929637670517, -0.1469639390707016, 0.07735098898410797, 0.16944512724876404, -0.12387922406196594, -0.189581960439682, 0.011179488152265549, -0.17385300993919373, 0.01927170529961586, 0.029379593208432198, -0.09861131757497787, -0.025676626712083817, 0.02002534456551075, 0.024901825934648514, -0.20816023647785187, -0.08667565882205963, -0.10907451063394547, 0.04478802531957626, 0.1074967086315155, -0.023049410432577133, 0.08940370380878448, 0.06495894491672516, 0.02414323203265667, -0.10561193525791168, -0.11348987370729446, 0.03527521342039108, -0.006939081009477377, -0.008532376028597355, -0.08149662613868713, 0.05744888633489609, -0.11771222203969955, 0.06441196799278259, 0.12113826721906662, 0.03093215636909008, 0.0762627050280571, -0.10046987235546112, 0.13784831762313843, 0.01553804986178875, -0.018746094778180122, 0.01942494511604309, 0.20073938369750977, 0.08824972808361053, 0.015051793307065964, -0.015411133877933025, -0.053899459540843964, 0.014397459104657173]",城区西街街道,ww24p26g86qz
7,35.502222,112.822777,112.822777,35.502222,"419,84,144,65,869,877,876,327,861,221,55,403,807,868,465,398,876,2,900,119,0,14,826",山西省晋城市城区西街街道景西路2242号太印第四小区,城区西街街道景西路2242号太印第四小区,城区西街街道 景西路 2242 号 太 印 第四 小区,"[-0.033879414200782776, 0.044874951243400574, 0.03075159341096878, 0.003197518875822425, -0.01156045775860548, -0.10061758011579514, 0.0510462261736393, 0.09821875393390656, -0.08311162889003754, -0.10350645333528519, 0.001827468047849834, -0.09487751126289368, 0.00603310763835907, 0.016206685453653336, -0.047487568110227585, 0.001768584712408483, 0.011606787331402302, 0.01816568896174431, -0.12654992938041687, -0.046951211988925934, -0.06699288636445999, 0.03228684514760971, 0.0638517290353775, -0.02139536291360855, 0.05818689614534378, 0.03274010866880417, 0.01607430726289749, -0.06542537361383438, -0.06992216408252716, 0.02930140309035778, 0.0044674258679151535, 0.0028432507533580065, -0.04278330132365227, 0.035353511571884155, -0.06703433394432068, 0.036786749958992004, 0.06083337590098381, 0.005860989447683096, 0.043320346623659134, -0.062194835394620895, 0.09320090711116791, 0.004927432164549828, -0.008806365542113781, 0.027144083753228188, 0.12846097350120544, 0.05003591626882553, 0.012359190732240677, -0.016011135652661324, -0.03910573571920395, -0.004547776188701391]",城区西街街道,ww21zqgp3jzg
8,35.4994,112.8265,112.8265,35.4994,"413,68,129,73,873,856,882,352,865,241,61,453,883,867,508,438,873,0,900,134,0,33,892",山西省晋城市城区西街街道新市西街1914号泽州县人民医院,城区西街街道新市西街1914号泽州县人民医院,城区西街街道 新 市西街 1914 号 泽州县 人民 医院,"[-0.019315019249916077, -0.01012223307043314, 0.010375908575952053, 0.0039511267095804214, 0.02700069174170494, -0.042775508016347885, 0.021888338029384613, 0.06396443396806717, -0.02631823904812336, -0.026829812675714493, 0.024441415444016457, -0.033208802342414856, 0.019445868209004402, 0.010585696436464787, -0.027597276493906975, 0.015605210326611996, -0.015615259297192097, 0.004784422926604748, -0.06174540892243385, -0.003740572137758136, -0.030319837853312492, 0.02652902714908123, 0.04281913861632347, -0.0013722445582970977, 0.028168730437755585, 0.019025243818759918, 0.015269294381141663, -0.02352306991815567, -0.030830951407551765, 0.009768914431333542, 0.0074194325134158134, 0.011605346575379372, -0.01600763574242592, 0.017521223053336143, -0.027220681309700012, 0.028046900406479836, 0.03186460956931114, 0.009608879685401917, 0.01625746674835682, -0.033927902579307556, 0.02626115083694458, 0.013014256954193115, 0.0054101357236504555, 0.007194028701633215, 0.05938880145549774, 0.004773772321641445, -0.010139930061995983, 0.011463349685072899, -0.005981707479804754, 0.0050876326858997345]",城区西街街道,ww21zqmybpb1
9,35.506111,112.8225,112.8225,35.506111,"382,82,140,64,865,876,879,310,845,196,54,371,739,827,443,364,874,2,900,111,0,14,766",山西省晋城市城区西街街道景西路2155号西城香府,城区西街街道景西路2155号西城香府,城区西街街道 景西路 2155 号 西城 香府,"[-0.02447608858346939, 0.04917541518807411, 0.01125118974596262, -0.009201282635331154, -0.010652601718902588, -0.10313662141561508, 0.038091059774160385, 0.10732673108577728, -0.0784645676612854, -0.10763169825077057, 0.015197926200926304, -0.11167453229427338, 0.015415732748806477, 0.024448169395327568, -0.0609099455177784, -0.004909083712846041, 0.0038713847752660513, 0.027056651189923286, -0.12774963676929474, -0.05050928518176079, -0.0736483708024025, 0.030065258964896202, 0.08029218763113022, -0.0296283308416605, 0.05140025541186333, 0.032993726432323456, 0.023132868111133575, -0.06439043581485748, -0.07932731509208679, 0.021281002089381218, 0.0009249470313079655, -0.004313192330300808, -0.05650123581290245, 0.028191953897476196, -0.06828510761260986, 0.040911056101322174, 0.06886725127696991, 0.01711372844874859, 0.05254383385181427, -0.06153631955385208, 0.09253957867622375, 0.00681763282045722, -0.01645536907017231, 0.018684260547161102, 0.12494131177663803, 0.06071946769952774, -0.001924114185385406, -0.002831644145771861, -0.04170603305101395, 0.006061803549528122]",城区西街街道,ww21zrdy4fc6
10,35.453055,112.835277,112.835277,35.453055,"54,26,19,3,274,779,257,26,58,11,7,62,89,76,91,22,217,8,889,13,0,0,137",山西省晋城市城区钟家庄街道金匠街,城区钟家庄街道金匠街,城区钟家庄街道 金匠街,"[-0.0061097159050405025, 0.018872447311878204, 0.006387028843164444, -0.009664137847721577, -0.01029463391751051, -0.03626607358455658, 0.024375509470701218, 0.051585037261247635, -0.03381936252117157, -0.07115323841571808, -0.010261544957756996, -0.05854267254471779, 0.01230929046869278, 0.0017240762244910002, -0.03434371575713158, -0.00914620142430067, -0.002186816418543458, 0.005420414265245199, -0.08026562631130219, -0.04293631389737129, -0.03546871989965439, 0.02425353229045868, 0.03573843836784363, -0.009482835419476032, 0.02708343416452408, 0.010715331882238388, 0.004435264505445957, -0.02892882749438286, -0.038818102329969406, 0.012347082607448101, -0.009583654813468456, 0.003748399903997779, -0.02698381245136261, 0.014250938780605793, -0.029033811762928963, 0.024192478507757187, 0.03174407035112381, 0.005608594976365566, 0.024881914258003235, -0.020779062062501907, 0.052468203008174896, 0.013776729814708233, -0.0020362259820103645, 0.010922424495220184, 0.06487461179494858, 0.032666679471731186, 0.004304306115955114, -0.01405237801373005, -0.021305715665221214, 0.008540214039385319]",城区钟家庄街道,ww21xwh1h82w
11,35.4795,112.83138,112.83138,35.4795,"327,89,86,52,850,867,878,308,877,217,49,398,783,865,415,375,871,4,899,85,0,32,806",山西省晋城市城区南街街道乐荣超市烈士陵园,城区南街街道乐荣超市烈士陵园,城区南街街道 乐荣 超市 烈士 陵园,"[-0.07912943512201309, 0.15205147862434387, 0.0542188324034214, -0.01570996269583702, -0.03917868435382843, -0.25165855884552, 0.12362596392631531, 0.3044762909412384, -0.21979911625385284, -0.35239076614379883, -0.0028658907394856215, -0.304350346326828, 0.05392015725374222, 0.07479764521121979, -0.18395762145519257, -0.03523081913590431, 0.03255702555179596, 0.06564823538064957, -0.37767907977104187, -0.18047623336315155, -0.19122275710105896, 0.08187275379896164, 0.21226884424686432, -0.05379759520292282, 0.16638098657131195, 0.10068126022815704, 0.050372425466775894, -0.19165514409542084, -0.21733792126178741, 0.07830648124217987, 0.0049542393535375595, -0.022858507931232452, -0.12366993725299835, 0.10027626901865005, -0.1969425529241562, 0.10691367834806442, 0.21819698810577393, 0.047902390360832214, 0.1243973821401596, -0.16922034323215485, 0.2643946409225464, 0.02970273606479168, -0.04902952164411545, 0.05048733577132225, 0.34175029397010803, 0.14824368059635162, 0.02086031064391136, -0.04817238077521324, -0.09379861503839493, 0.019217489287257195]",城区南街街道,ww21zdc71dnv
22,35.4998,112.8215,112.8215,35.4998,"410,90,134,59,871,874,878,317,863,208,54,392,807,854,458,388,874,2,899,120,0,14,811",山西省晋城市城区西街街道早餐综合市场,城区西街街道早餐综合市场,城区西街街道 早餐 综合 市场,"[-0.02154250256717205, 0.04721168801188469, 0.01723138801753521, -0.004057961516082287, -0.011396742425858974, -0.08795876055955887, 0.0543266199529171, 0.08921847492456436, -0.08370523154735565, -0.11511558294296265, 0.009766739793121815, -0.0925423726439476, 0.011107423342764378, 0.007445663679391146, -0.05554746836423874, -0.004705441650003195, 0.016487495973706245, 0.02020261250436306, -0.13536033034324646, -0.06051241606473923, -0.07200540602207184, 0.01876690983772278, 0.06561750918626785, -0.015675470232963562, 0.049726951867341995, 0.027531329542398453, 0.028596656396985054, -0.06093479320406914, -0.07535199075937271, 0.0275470819324255, 0.008750632405281067, 0.00501890666782856, -0.041202157735824585, 0.043337564915418625, -0.08037535846233368, 0.02584582380950451, 0.07854551076889038, 0.015100795775651932, 0.03649241849780083, -0.06762587279081345, 0.07954627275466919, 0.015707952901721, -0.007322987541556358, 0.020749308168888092, 0.1303243637084961, 0.061464957892894745, 0.010419846512377262, -0.00047021592035889626, -0.03194054588675499, -0.007329567335546017]",城区西街街道,ww21zqd176rg
